Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PX460918,dengue virus type 2,Orthoflavivirus denguei,2,KMUH2023,10723,complete,Taiwan,Homo sapiens,blood,"Huang,J.Y., Weng,S.F., Yang,Z.S., Tung,Y.W., Wang,W.H., Assavalapsakul,W., Thitithanyanont,A., Chao,D.Y., Lin,C.Y., Chen,Y.H., Wang,S.F., Wang,W., Wang,S., Lin,C., Chen,Y.",2023-11,2026-04-16,ssRNA(+)
PX480245,dengue virus type 1,Orthoflavivirus denguei,1,D17-1428,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2017-06-13,2025-12-31,ssRNA(+)
PX480246,dengue virus type 1,Orthoflavivirus denguei,1,D17-4002,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2017-12-07,2025-12-31,ssRNA(+)
PX480247,dengue virus type 1,Orthoflavivirus denguei,1,D18-0192,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-01-14,2025-12-31,ssRNA(+)
PX480248,dengue virus type 1,Orthoflavivirus denguei,1,D18-0450,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-04-26,2025-12-31,ssRNA(+)
PX480249,dengue virus type 1,Orthoflavivirus denguei,1,D18-1004,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-16,2025-12-31,ssRNA(+)
PX480250,dengue virus type 1,Orthoflavivirus denguei,1,D18-1115,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-24,2025-12-31,ssRNA(+)
PX480251,dengue virus type 1,Orthoflavivirus denguei,1,D18-1197,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-22,2025-12-31,ssRNA(+)
PX480252,dengue virus type 1,Orthoflavivirus denguei,1,D18-1208,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-29,2025-12-31,ssRNA(+)
PX480253,dengue virus type 1,Orthoflavivirus denguei,1,D18-1350,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-03,2025-12-31,ssRNA(+)
PX480254,dengue virus type 1,Orthoflavivirus denguei,1,D18-1378,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-08,2025-12-31,ssRNA(+)
PX480255,dengue virus type 1,Orthoflavivirus denguei,1,D18-1391,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-01,2025-12-31,ssRNA(+)
